file_extension,changed_frequency,model_name,owner
.json,366734,45175,13321
.safetensors,328439,41690,12469
.bin,121478,21656,8757
.md,106976,30579,10062
.0,101283,6002,4187
.gitattributes,59784,45175,13321
.pt,35099,1345,795
.txt,28709,16192,6968
.model,21014,18318,5001
.1,19803,3547,2696
.pth,16751,1205,714
.2,12788,1878,1601
.py,8075,1963,836
.3,5606,1271,1154
.4,5359,942,871
.5,2875,733,705
.6,2533,568,574
.yml,2419,2114,471
.msgpack,2017,578,238
.8,1770,405,415
.png,1736,733,299
.7,1673,501,495
.log,1588,120,44
.10,1428,284,304
.v2,1314,60,24
.9,1301,340,353
.gitignore,1244,1147,610
.spm,1096,370,246
.onnx,1054,246,108
.weight,879,7,3
.12,873,211,240
.pkl,865,419,138
.h5,854,595,255
.csv,842,319,150
.11,822,242,267
.14,669,167,169
.13,657,180,187
.gguf,633,197,109
.jsonl,568,55,26
.16,558,137,134
.15,483,147,144
.ipynb,442,128,97
.wandb,403,7,13
.19,401,96,99
.yaml,387,163,99
.18,380,106,108
.torch,375,228,1
.17,370,119,122
.node,368,6,2
.jpg,296,151,70
.20,250,89,93
.21,247,80,82
.22,233,69,69
.24,231,63,62
.governance,202,5,1
.23,196,65,64
.out,177,9,5
.pyc,163,16,13
.tiktoken,158,142,81
.25,154,56,55
.DS_Store,152,64,51
.26,150,51,47
.edu,143,2,2
.jpeg,139,80,44
.zip,138,123,24
.bc11u25n1,135,1,1
.sh,134,44,23
.29,134,48,42
.codes,132,121,67
.bc11u23n1,129,1,1
.pdf,126,83,53
.index,121,31,15
.27,118,47,43
.30,114,45,40
.28,114,49,46
.32,112,41,35
.34,111,33,30
.31,109,39,34
.bc11u15n2,108,1,1
.33,97,36,31
.39,92,27,24
.ot,92,68,59
.bc11u19n1,87,1,1
.npy,82,13,6
.bc11u21n1,81,1,1
.40,78,24,20
.meta,77,24,12
.38,73,27,24
.35,64,33,29
.onnx_data,64,20,10
.webp,64,39,18
.pickle,61,31,7
.36,61,30,28
.arrow,58,4,4
.42,58,20,18
.37,56,29,27
.tsv,54,36,8
.bc11u19n2,53,1,1
.51,53,17,15
.tflite,53,15,19
.parquet,51,14,2
.gz,50,30,19
.bc11u17n1,50,1,1
.44,46,21,18
.cpp,46,37,14
.41,46,23,19
.45,45,21,18
.neff,45,5,3
.cu,44,33,13
.60,44,11,9
.46,40,21,18
.50,40,17,16
.svg,40,32,13
.43,38,19,17
.49,38,16,15
.uk,37,1,1
.48,37,20,18
.47,37,20,18
.52,36,12,10
.mlmodel,36,25,21
.bias,32,1,1
.text,31,4,2
.62,31,9,7
.args,31,31,3
.72,30,7,5
.gif,30,18,14
.kogecha,29,1,1
.54,29,12,10
.53,29,11,9
.syz,28,1,1
.f88e78bfdce9,28,1,1
.xml,28,11,11
.vocab,28,20,11
.db,26,20,13
.55,25,10,8
.71,25,7,5
.61,25,11,9
.65,25,7,5
.66,25,7,5
.8a299dec7754,25,1,1
.57,25,10,8
.benihi,25,1,1
.ckpt,23,10,7
.58,22,8,6
.umadmin,20,1,1
.html,20,10,7
.llamafile,19,1,1
.76,18,7,6
.jinja,18,3,1
.95,17,5,4
.mewtwo,17,3,1
.77,17,7,6
.94,17,5,4
.86,16,5,4
.63,16,9,7
.56,16,9,7
.73,15,7,5
.80,15,6,5
.64,15,8,6
.68,15,7,5
.69,14,7,5
.84,14,5,4
.81,14,6,5
.70,14,7,5
.74,13,7,5
.59,13,8,6
.MD,13,7,6
.lock,13,8,5
.amltmp,13,5,5
.87,13,5,4
.88,12,5,4
.rst,12,1,1
.96,12,5,4
.redrod,12,3,1
.swp,12,9,8
.t,12,2,1
.90,12,5,4
.o,12,2,1
.98,12,4,4
.296ee981cad9,12,4,1
.js,12,4,3
.85,12,5,4
.fasta,12,2,1
.eps,12,5,1
.82,12,6,5
.npz,11,8,7
.78,11,6,5
.83,10,6,5
.67,10,7,5
.os,10,5,1
.91,10,5,4
.92,10,5,4
.local,9,3,3
.crdownload,9,5,4
.chk,9,7,5
.amlignore,9,5,5
.a800,9,2,1
.99,9,3,3
.mde,9,4,1
.PNG,9,6,3
.79,9,6,5
.75,9,6,5
.93,8,5,4
.142,8,2,2
.joblib,8,5,5
.host_call,8,1,1
.141,8,2,2
.bc8u19n8,8,1,1
.bc9u7n1,8,3,1
.xlsx,8,1,1
.97,8,5,4
.durian,8,2,1
.89,8,5,4
.154,7,2,2
.130,7,2,2
.153,7,2,2
.129,7,2,2
.mdl,7,4,1
.bc11u21n2,7,1,1
.bak,7,5,5
.gin,7,6,4
.t5,7,6,3
.icloud,7,2,1
.css,7,5,4
.msc,7,4,1
.tokenizer,7,7,5
.Identifier,6,1,1
.145,6,2,2
.szycha,6,1,1
.109,6,2,2
.108,6,2,2
.146,6,2,2
.pb,6,1,1
.105,6,2,2
.104,6,2,2
.bc11u23n2,5,1,1
.134,5,2,2
.133,5,2,2
.bc11u17n2,5,1,1
.easy,5,5,2
.dat,5,4,3
.163,5,2,2
.124,5,2,2
.125,5,2,2
.162,5,2,2
.metadata,5,5,2
.6d32e7e75490,5,1,1
.keras,5,5,1
.ttf,4,2,4
.so,4,2,1
.158,4,2,2
.159,4,2,2
.egg,4,2,1
.patch,4,3,3
.samantha120b,4,1,1
.tar,4,3,3
.0_self_attn_rotary_emb_Constant_4_attr__value,4,2,1
.137,4,2,2
.Samad,4,1,1
.bc8u15n8,4,1,1
.138,4,2,2
.toml,4,4,4
.ninja_log,4,2,1
.ninja_deps,4,2,1
.6ffc095b5239,4,1,1
.test,4,2,1
.0_self_attn_rotary_emb_Constant_attr__value,4,2,1
.dll,3,1,1
.gitkeep,3,2,2
.149,3,2,2
.e62cbaf8f695,3,2,1
.faiss,3,1,1
.ninja,3,2,1
.121,3,2,2
.150,3,2,2
.b895321b9f5e,3,1,1
.112,3,2,2
.tiny,3,3,1
.10391,3,1,1
.120,3,2,2
.safetensor,3,2,2
.110,3,3,3
.1818,3,1,1
.117,3,2,2
.116,3,2,2
.apk,3,1,1
.4587,3,1,1
.113,3,2,2
.tgz,2,1,1
.mp4,2,1,1
.143,2,2,2
.144,2,2,2
.111,2,2,2
.py_bak,2,1,1
.type,2,2,2
.mv,2,1,1
.106,2,2,2
.user,2,2,2
.103,2,2,2
.147,2,2,2
.148,2,2,2
.xlsm,2,1,1
.102,2,2,2
.101,2,2,2
.100,2,2,2
.107,2,2,2
.115,2,2,2
.name,2,2,2
.131,2,2,2
.pipelinestest,2,1,1
.123,2,2,2
.r,2,1,1
.pdparams,2,1,1
.rar,2,1,1
.122,2,2,2
.151,2,2,2
.runName,2,2,2
.safetensors12,2,1,1
.part,2,1,1
.132,2,2,2
.114,2,2,2
.safetensorsx,2,1,1
.119,2,2,2
.135,2,2,2
.136,2,2,2
.son,2,1,1
.118,2,2,2
.139,2,2,2
.sqlite3,2,1,1
.140,2,2,2
.128,2,2,2
.7z,2,1,1
.155,2,2,2
.152,2,2,2
.161,2,2,2
.dsail2,2,1,1
.config,2,2,2
.gitmodules,2,1,1
.165,2,2,2
.164,2,2,2
.INFO,2,1,1
.iml,2,2,2
.in,2,1,1
.conf,2,2,1
