length_name,selected_model,owner
2,nkthakur/my_awesome_opus_books_model,nkthakur
2,Ruoyao/graph_th25_351_llama2_7b,Ruoyao
2,ashishkgpian/sharded_astromistral,ashishkgpian
2,CLindler/PublicResponseClassifier,CLindler
2,furrutiav/math_bert_qa_extractor_cockatiel_2022_mixtral_v2_it_1597,furrutiav
2,fia24/banglaT5_banel,fia24
2,Zeen0/lab1_random,Zeen0
2,gokuls/HBERTv1_48_L2_H768_A12_ffn_2,gokuls
2,Jarnails1559/Reasoning_model3,Jarnails1559
2,GiladH/groups_pos_neg_classification_28_2,GiladH
2,DrAEZF6quN2YktvBc7jHxX/FcnXT3SQ,DrAEZF6quN2YktvBc7jHxX
2,ThuyNT03/KLTN_COQE_viT5_total_PASOL_v5,ThuyNT03
2,lakxs/lock,lakxs
2,FINNUMBER/FINCH_TRAIN_SA_800_per400_NEW_Rationale_E4,FINNUMBER
2,ewqr2130/llama_sft_longer,ewqr2130
2,keRRR/merged,keRRR
2,pEpOo/catastrophy5,pEpOo
2,nytkng/t5_small_summarization,nytkng
2,CatBarks/GPT2_original_ES_model2,CatBarks
2,Drewskidang/DPO_DANG_AWQ,Drewskidang
2,vickt/LLM_Teached_BART_CNNDM,vickt
2,upadhyay/texttosql22,upadhyay
2,maniack/my_awesome_wnut_model,maniack
2,shakedr/distil_bert_proisrael_author_text_no_preprocess_tmp,shakedr
2,tomhodemon/fever_query_encoder_bsz16_8000_gradacc8,tomhodemon
2,ingeol/facets_real_5,ingeol
2,Gatido/BERT_50k_1,Gatido
2,SparshSyde/merged_mistral_PI_iter_1,SparshSyde
2,FounderOfHuggingface/gpt2_full_e2e_nlg_t3000_e5_member_shadow18,FounderOfHuggingface
2,hongjing0312/my_awesome_opus_books_model,hongjing0312
2,croissantllm/base_115k,croissantllm
2,Kquant03/WeirdMerge,Kquant03
2,jeiku/Long_Luna_3.43B,jeiku
2,ankitgu3/boolq_qg_example,ankitgu3
2,TheArchitectX/Mistral1,TheArchitectX
2,zzttbrdd/sn6_04g,zzttbrdd
2,versae/gzipbert_imdb_rpe_250k_v4,versae
