Owner,Model Name,dataset,metrics,evaluation_result,library_name,Dataset,Link_ava
0xideas,0xideas/rustral,non,,,transformers,Yes,No
1nferno,1nferno/Fake_news_detection,non,['accuracy'],[],transformers,No,No
a9i,a9i/scarlett-7b,non,,,transformers,No,No
aao331,aao331/Carpincho-13b,non,,,transformers,No,No
aarnphm,aarnphm/multi-length-text-classification-pipeline,non,,,transformers,No,No
abeeraljabri,abeeraljabri/t5-base-medium-title-generation,non,,[],transformers,No,No
ademax,ademax/vispell-small-v3,non,,,transformers,No,No
AdrianBZG,AdrianBZG/tinyroberta-squad-es,non,,,transformers,No,No
AdryKab47,AdryKab47/llamaft,non,,,transformers,No,No
adwinang,adwinang/finetuning-sentiment-model-3000-samples,non,,[],transformers,No,No
Aelsharaby,Aelsharaby/orca_mini_v3_13b,non,,,transformers,No,No
aerdincdal,aerdincdal/ddo-roberta-turkish-uncased,non,,,transformers,No,No
aguglaniAI,aguglaniAI/phi2_fine_tuned_istanbul_1750,non,,,transformers,No,No
akhooli,akhooli/gpt2-small-arabic-poetry,non,,,transformers,Yes,No
alanaazo,alanaazo/rubert4,non,,,transformers,No,No
AlanHou,AlanHou/xlm-roberta-base-finetuned-panx-de,non,['f1'],[],transformers,No,No
aleksahet,aleksahet/test-push,non,,,transformers,No,No
Aleksandar,Aleksandar/distilbert-srb-ner-setimes,non,"['precision', 'recall', 'f1', 'accuracy']",,transformers,No,No
alexandrabenamar,alexandrabenamar/bloomz-7b1-4Magic,non,,,transformers,No,No
alexpaul,alexpaul/bieru-model,non,,,transformers,No,No
amaye15,amaye15/autoencoder,non,,,transformers,No,No
AmedeoBonatti,AmedeoBonatti/ner_scibert_pretrained,non,"['precision', 'recall', 'f1', 'accuracy']",[],transformers,No,No
Amir01,Amir01/Roberta-finetuned-Parsi-Mianeh-Corpus,non,,[],transformers,No,No
ammarnasr,ammarnasr/custom-adaclip,non,,,transformers,No,No
andresar1205,andresar1205/SMS-spam-detection-BertForSequenceClassification,non,,,transformers,No,No
annamalai-s,annamalai-s/distilbert-sentimentanalysis,non,"['f1', 'accuracy']",[],transformers,No,No
AnshDube77,AnshDube77/distilroberta-dark-pattern,non,,[],transformers,No,No
anushreeya,anushreeya/DialoGPT-small-magma2,non,,,transformers,No,No
argmining-vaccines,argmining-vaccines/bert-base-spanish-wwm-cased-reason_augmented,non,,,transformers,No,No
argsearch,argsearch/llama-7b-rm-float32,non,,[],transformers,No,No
Arix-ALIMAGNIDOKPO,Arix-ALIMAGNIDOKPO/Mistral_Instruct_IDSR,non,,,transformers,No,No
AriyanH22,AriyanH22/frame_classification_longformer_earlystopping,non,"['accuracy', 'f1', 'precision', 'recall']",[],transformers,No,No
Arklyn,Arklyn/BERT-SA,non,,,transformers,No,No
arxyzan,arxyzan/data2vec-roberta-base,non,,,transformers,No,No
assafm,assafm/cobalt-salmon,non,,,transformers,Yes,No
Audi24,Audi24/my_awesome_model,non,['accuracy'],[],transformers,No,No
audreyleteve,audreyleteve/curious-muskox,non,,,transformers,No,No
AuraRuby,AuraRuby/ARIA,non,,,transformers,No,No
