Owner,main_model_name,to_compare,modelcard_abstract,category
Ahmed007,Ahmed007/Copilot_for_poors_v2,Ahmed007/Copilot_for_poors,training parameters increase,configuration changes
Ahmed007,Ahmed007/Copilot_for_poors_v2,Ahmed007/Copilot_for_poors, performance improvement,performance changes
albert,albert/albert-xlarge-v1,albert/albert-xlarge-v2, performance improvement,performance changes
alpcansoydas,alpcansoydas/bert-base-arabic-emotion-analysis-v2,alpcansoydas/bert-base-arabic-emotion-analysis, performance improvement,performance changes
alpcansoydas,alpcansoydas/bert-base-arabic-emotion-analysis-v2,alpcansoydas/bert-base-arabic-emotion-analysis, dataset version increase,configuration changes
alpcansoydas,alpcansoydas/bert-base-arabic-emotion-analysis-v2,alpcansoydas/bert-base-arabic-emotion-analysis, transformer version increase,configuration changes
alpcansoydas,alpcansoydas/bert-base-arabic-emotion-analysis-v2,alpcansoydas/bert-base-arabic-emotion-analysis," tokenizer version increase,",configuration changes
AmelieSchreiber,AmelieSchreiber/esm2_t6_8M_general_binding_sites_v2,AmelieSchreiber/esm2_t6_8M_general_binding_sites,performance improvement,performance changes
AmelieSchreiber,AmelieSchreiber/esm2_t6_8M_general_binding_sites_v2,AmelieSchreiber/esm2_t6_8M_general_binding_sites, hyperperameter release,configuration changes
ankhamun,ankhamun/x_x-v0,ankhamun/xxxI0v_v0Ixxx, no modelcard,dataset
arjan-hada,arjan-hada/esm2_t12_35M_UR50D-finetuned-rep7868aav2-v0,arjan-hada/esm2_t12_35M_UR50D-finetuned-rep7868aav2-v1, training batchsize increase,configuration changes
arjan-hada,arjan-hada/esm2_t12_35M_UR50D-finetuned-rep7868aav2-v0,arjan-hada/esm2_t12_35M_UR50D-finetuned-rep7868aav2-v1, evaluation batchsize increase,configuration changes
arjan-hada,arjan-hada/esm2_t12_35M_UR50D-finetuned-rep7868aav2-v0,arjan-hada/esm2_t12_35M_UR50D-finetuned-rep7868aav2-v1, training result improvement,configuration changes
arjan-hada,arjan-hada/esm2_t12_35M_UR50D-finetuned-rep7868aav2-v0,arjan-hada/esm2_t12_35M_UR50D-finetuned-rep7868aav2-v1, dataset version increase,configuration changes
arjan-hada,arjan-hada/esm2_t12_35M_UR50D-finetuned-rep7868aav2-v0,arjan-hada/esm2_t12_35M_UR50D-finetuned-rep7868aav2-v1, tokenizer version increase,configuration changes
athirdpath,athirdpath/Iambe-20b-DARE-v2,athirdpath/Iambe-20b-DARE, different merged base model,model architecture
austinpatrickm,austinpatrickm/finetuned_bge_embeddings_v2,austinpatrickm/finetuned-bge-embeddings, normalized layer addition,configuration changes
bedust,bedust/tinyllama-colorist-v2,bedust/tinyllama-colorist-lora, no modelcard,dataset
Biomimicry-AI,Biomimicry-AI/ANIMA-Nectar-v2,Biomimicry-AI/ANIMA-Nectar-v3-GGUF, file format change,other changes
Biomimicry-AI,Biomimicry-AI/ANIMA-Nectar-v2,Biomimicry-AI/ANIMA-Nectar-v3-GGUF, license inclusion,license
chathuranga-jayanath,chathuranga-jayanath/codet5-base-v1,chathuranga-jayanath/codet5-base-v2,performance improvement,performance changes
chathuranga-jayanath,chathuranga-jayanath/codet5-base-v1,chathuranga-jayanath/codet5-base-v2, train batch size decrease,configuration changes
chathuranga-jayanath,chathuranga-jayanath/codet5-base-v1,chathuranga-jayanath/codet5-base-v2, evaluation batch size decrease,configuration changes
chensyii,chensyii/my_bert_model_v2,chensyii/my_bert_model, modelcard addition,dataset
ClaudiaRichard,ClaudiaRichard/mbti-bert-nli-finetuned_v2,ClaudiaRichard/mbti-bert-nli-finetuned,no traces of change,no changes
Conrad747,Conrad747/luganda-ner-v6,Conrad747/luganda-ner-v5, different trained variant,model architecture
Conrad747,Conrad747/luganda-ner-v6,Conrad747/luganda-ner-v5,performance decrease,performance changes
Conrad747,Conrad747/luganda-ner-v6,Conrad747/luganda-ner-v5, transformer version increase,configuration changes
Conrad747,Conrad747/luganda-ner-v6,Conrad747/luganda-ner-v5, dataset version increase,configuration changes
