Owner,main_model_name,to_compare,major_largefile,card_changed,modelcard,readme,configfile,modelcard_abstract
Ahmed007,Ahmed007/Copilot_for_poors_v2,Ahmed007/Copilot_for_poors,Different,Different,"successor training-parameters-increased,
successor training-result-improved",model name changed,_name_or_path,"increased  training-parameters,
 performance improvement"
albert,albert/albert-xlarge-v1,albert/albert-xlarge-v2,Different,Different,succession performance-increase,Nothing changed,"attention_probs_dropout_prob, hidden_act, hidden_dropout_prob", performance improvement
alpcansoydas,alpcansoydas/bert-base-arabic-emotion-analysis-v2,alpcansoydas/bert-base-arabic-emotion-analysis,Different,Different,"succession performance-increase,
successor dataset-version increase,
successor transformer-version increase,
successor tokenizer-version increase,",model name changed,transformers_version," performance improvement,
 dataset-version increase,
 transformer-version increase,
 tokenizer-version increase,"
AmelieSchreiber,AmelieSchreiber/esm2_t6_8M_general_binding_sites_v2,AmelieSchreiber/esm2_t6_8M_general_binding_sites,Different,Different,"succession performance-increase,
succession hyper-perameter-releases","successor's widget text-inclusion,
successor dataset-inclusion,
successor language-inclusion,
successor metrics-inclusion,
successor librar- used-inclusion,
succession tags-inclusion,",no-changes," performance-increase,
 hyper-perameter-releases"
ankhamun,ankhamun/x_x-v0,ankhamun/xxxI0v_v0Ixxx,Different,Different,predecessor no-modelcard,successor transformer inclusion,"_name_or_path, sliding_window, transformers_version, use_cache",predecessor no-modelcard
arjan-hada,arjan-hada/esm2_t12_35M_UR50D-finetuned-rep7868aav2-v0,arjan-hada/esm2_t12_35M_UR50D-finetuned-rep7868aav2-v1,Different,Different,"successor training-batchsize-increased,
successir evaluation-batchsize-increased,
successor training-result-improved,
successor dataset-version-increased,
successor tokenizer-version-increased",model name changed,no-changes," training-batchsize-increased,
successir evaluation-batchsize-increased,
 training-result-improved,
 dataset-version-increased,
 tokenizer-version-increased"
athirdpath,athirdpath/Iambe-20b-DARE-v2,athirdpath/Iambe-20b-DARE,Different,Different,successor different-merged-base-model,Nothing changed,"_name_or_path, use_cache", different-merged-base-model
austinpatrickm,austinpatrickm/finetuned_bge_embeddings_v2,austinpatrickm/finetuned-bge-embeddings,Different,Different,successor normalized-layer-addition,Nothing changed,transformers_version, normalized-layer-addition
bedust,bedust/tinyllama-colorist-v2,bedust/tinyllama-colorist-lora,Different,Different,successor no-modelcard,successor readme-inclusion,no-information, no-modelcard
Biomimicry-AI,Biomimicry-AI/ANIMA-Nectar-v2,Biomimicry-AI/ANIMA-Nectar-v3-GGUF,Different,Different,"successor file-format-changed,
successor license-inclusion",Nothing changed,no-information," file-format-changed,
 license-inclusion"
