Owner,main_model_name,to_compare,largefile,card,key,main_value,compared_value
Ahmed007,Ahmed007/Copilot_for_poors_v2,Ahmed007/Copilot_for_poors,Different,Different,_name_or_path,Ahmed007/Copilot_for_poors,t5-base
albert,albert/albert-xlarge-v1,albert/albert-xlarge-v2,Different,Different,"attention_probs_dropout_prob, hidden_act, hidden_dropout_prob","0.1, gelu, 0.1","0, gelu_new, 0"
alpcansoydas,alpcansoydas/bert-base-arabic-emotion-analysis-v2,alpcansoydas/bert-base-arabic-emotion-analysis,Different,Different,transformers_version,4.35.2,4.35.1
AmelieSchreiber,AmelieSchreiber/esm2_t6_8M_general_binding_sites_v2,AmelieSchreiber/esm2_t6_8M_general_binding_sites,Different,Different,no-changes,no-changes,no-changes
ankhamun,ankhamun/x_x-v0,ankhamun/xxxI0v_v0Ixxx,Different,Different,"_name_or_path, sliding_window, transformers_version, use_cache","./yellow, 4096, 4.36.2, True","./finaloutputmodel, None, 4.38.0.dev0, False"
arjan-hada,arjan-hada/esm2_t12_35M_UR50D-finetuned-rep7868aav2-v0,arjan-hada/esm2_t12_35M_UR50D-finetuned-rep7868aav2-v1,Different,Different,no-changes,no-changes,no-changes
athirdpath,athirdpath/Iambe-20b-DARE-v2,athirdpath/Iambe-20b-DARE,Different,Different,"_name_or_path, use_cache","athirdpath/BigLlama-20b-v1.1, True","athirdpath/BigLlama-20B, False"
austinpatrickm,austinpatrickm/finetuned_bge_embeddings_v2,austinpatrickm/finetuned-bge-embeddings,Different,Different,transformers_version,4.35.2,4.33.1
bedust,bedust/tinyllama-colorist-v2,bedust/tinyllama-colorist-lora,Different,Different,no-information,no-information,no-information
Biomimicry-AI,Biomimicry-AI/ANIMA-Nectar-v2,Biomimicry-AI/ANIMA-Nectar-v3-GGUF,Different,Different,no-information,no-information,no-information
chathuranga-jayanath,chathuranga-jayanath/codet5-base-v1,chathuranga-jayanath/codet5-base-v2,Different,Different,no-changes,no-changes,no-changes
chensyii,chensyii/my_bert_model_v2,chensyii/my_bert_model,Different,Different,transformers_version,4.35.2,4.34.1
ClaudiaRichard,ClaudiaRichard/mbti-bert-nli-finetuned_v2,ClaudiaRichard/mbti-bert-nli-finetuned,Different,Different,no-changes,no-changes,no-changes
Conrad747,Conrad747/luganda-ner-v6,Conrad747/luganda-ner-v5,Different,Different,"_name_or_path, hidden_size, intermediate_size, num_attention_heads, num_hidden_layers, transformers_version, adapters, gradient_checkpointing","xlm-roberta-base, 768, 3072, 12, 12, 4.35.2, None, None","masakhane/afroxlmr-large-ner-masakhaner-1.0_2.0, 1024, 4096, 16, 24, 4.27.4, {'adapters': {}, 'config_map': {}, 'fusion_config_map': {}, 'fusions': {}}, False"
csarron,csarron/mobilebert-uncased-squad-v2,csarron/mobilebert-uncased-squad-v1,Different,Different,no-changes,no-changes,no-changes
csarron,csarron/mobilebert-uncased-squad-v2,csarron/mobilebert-uncased-squad-v1,Different,Different,no-changes,no-changes,no-changes
cuadron11,cuadron11/suicide-distilbert-original-8-5-v2,cuadron11/suicide-distilbert-original-8-5,Different,Different,no-changes,no-changes,no-changes
damerajee,damerajee/tinyllama-sft-small-v2,damerajee/Tinyllama-sft-small,Different,Different,no-information,no-information,no-information
decapoda-research,decapoda-research/Antares-11b-v2,decapoda-research/Antares-11b-v1,Different,Different,"_name_or_path, transformers_version","decapoda-research/Antares-11b-v1, 4.37.2","merged, 4.36.2"
evenicole,evenicole/google-play-sentiment-analysis_v2,evenicole/google-play-sentiment-analysis,Different,Different,no-changes,no-changes,no-changes
Fizzarolli,Fizzarolli/sappha-2b-v1,Fizzarolli/sappha-2b-v3,Different,Different,"_name_or_path, torch_dtype, transformers_version, unsloth_version, hidden_activation","unsloth/gemma-2b-bnb-4bit, bfloat16, 4.38.1, 2024.2, None","unsloth/gemma-2b, float32, 4.39.1, None, None"
Frrrrrrrrank,Frrrrrrrrank/Llama-2-7b-chat-hf-process_engineering_one_firsttwokap_v3,Frrrrrrrrank/Llama-2-7b-chat-hf-process_engineering_one_firsttwokap_v2,Different,Different,no-information,no-information,no-information
gangyeolkim,gangyeolkim/kobart-korean-summarizer-v2,gangyeolkim/open-llama-2-ko-7b-summarization,Different,Different,"_name_or_path, activation_dropout, activation_function, add_bias_logits, add_final_layer_norm, architectures, author, classif_dropout, classifier_dropout, d_model, decoder_attention_heads, decoder_ffn_dim, decoder_layerdrop, decoder_layers, decoder_start_token_id, do_blenderbot_90_layernorm, dropout, early_stopping, encoder_attention_heads, encoder_ffn_dim, encoder_layerdrop, encoder_layers, eos_token_id, extra_pos_embeddings, force_bos_token_to_be_generated, forced_eos_token_id, gradient_checkpointing, id2label, init_std, is_encoder_decoder, kobart_version, label2id, length_penalty, max_length, max_position_embeddings, min_length, model_type, normalize_before, normalize_embedding, num_hidden_layers, pad_token_id, scale_embedding, static_position_embeddings, tokenizer_class, transformers_version, vocab_size, attention_bias, hidden_act, hidden_size, initializer_range, intermediate_size, num_attention_heads, num_key_value_heads, pretraining_tp, rms_norm_eps, rope_scaling, rope_theta, tie_word_embeddings","../notebooks/results/korean-total-merged/checkpoint-34000, 0.0, gelu, False, False, ['BartForConditionalGeneration'], Gangyeol Kim(gangyeol.kim@lotte.net), 0.1, 0.1, 768, 16, 3072, 0.0, 6, 1, False, 0.1, True, 16, 3072, 0.0, 6, [1700, 230], 2, False, 1, False, {'0': 'NEGATIVE', '1': 'POSITIVE'}, 0.02, True, 2.0, {'NEGATIVE': 0, 'POSITIVE': 1}, 2.0, 1024, 1026, 30, bart, False, True, 6, 3, False, False, PreTrainedTokenizerFast, 4.36.0.dev0, 30000, None, None, None, None, None, None, None, None, None, None, None, None","./result/beomi/open-llama-2-ko-7b-summarization, None, None, None, None, ['LlamaForCausalLM'], None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2, None, None, None, None, None, None, None, None, None, None, None, 2048, None, llama, None, None, 32, 2, None, None, None, 4.38.2, 46336, False, silu, 4096, 0.02, 11008, 32, 32, 1, 1e-06, None, 10000.0, False"
