Owner,main_model_name,to_compare,major_largefile,card_changed,what_changed,what_changed_updated
Ahmed007,Ahmed007/Copilot_for_poors_v2,Ahmed007/Copilot_for_poors,Different,Different,"successor training-parameters-increased,
successor training-result-improved"," training parameters increased,
 training result improved"
albert,albert/albert-xlarge-v1,albert/albert-xlarge-v2,Different,Different,succession performance-increase, performance increase
alpcansoydas,alpcansoydas/bert-base-arabic-emotion-analysis-v2,alpcansoydas/bert-base-arabic-emotion-analysis,Different,Different,"succession performance-increase,
successor dataset-version increase,
successor transformer-version increase,
successor tokenizer-version increase,"," performance increase,
 dataset version increase,
 transformer version increase,
 tokenizer version increase,"
AmelieSchreiber,AmelieSchreiber/esm2_t6_8M_general_binding_sites_v2,AmelieSchreiber/esm2_t6_8M_general_binding_sites,Different,Different,"succession performance-increase,
succession hyper-perameter-releases"," performance increase,
 hyper perameter releases"
ankhamun,ankhamun/x_x-v0,ankhamun/xxxI0v_v0Ixxx,Different,Different,predecessor no-modelcard,predecessor no modelcard
arjan-hada,arjan-hada/esm2_t12_35M_UR50D-finetuned-rep7868aav2-v0,arjan-hada/esm2_t12_35M_UR50D-finetuned-rep7868aav2-v1,Different,Different,"successor training-batchsize-increased,
successir evaluation-batchsize-increased,
successor training-result-improved,
successor dataset-version-increased,
successor tokenizer-version-increased"," training batchsize increased,
successir evaluation batchsize increased,
 training result improved,
 dataset version increased,
 tokenizer version increased"
athirdpath,athirdpath/Iambe-20b-DARE-v2,athirdpath/Iambe-20b-DARE,Different,Different,successor different-merged-base-model, different merged base model
austinpatrickm,austinpatrickm/finetuned_bge_embeddings_v2,austinpatrickm/finetuned-bge-embeddings,Different,Different,successor normalized-layer-addition, normalized layer addition
bedust,bedust/tinyllama-colorist-v2,bedust/tinyllama-colorist-lora,Different,Different,successor no-modelcard, no modelcard
Biomimicry-AI,Biomimicry-AI/ANIMA-Nectar-v2,Biomimicry-AI/ANIMA-Nectar-v3-GGUF,Different,Different,"successor file-format-changed,
successor license-inclusion"," file format changed,
 license inclusion"
chathuranga-jayanath,chathuranga-jayanath/codet5-base-v1,chathuranga-jayanath/codet5-base-v2,Different,Different,"succession performance-increase,
successor train-batch-size-decreased,
successor evaluation-batch-size-decreased"," performance increase,
 train batch size decreased,
 evaluation batch size decreased"
chensyii,chensyii/my_bert_model_v2,chensyii/my_bert_model,Different,Different,successor modelcard-inclusion, modelcard inclusion
ClaudiaRichard,ClaudiaRichard/mbti-bert-nli-finetuned_v2,ClaudiaRichard/mbti-bert-nli-finetuned,Different,Different,no traces of changes,no traces of changes
Conrad747,Conrad747/luganda-ner-v6,Conrad747/luganda-ner-v5,Different,Different,"successor different-trained-variant,
successor poor-performance,
successor higher-version-transformer,
successor higher-version-dataset,
successor higher-version-tokenizer"," different trained variant,
 poor performance,
 higher version transformer,
 higher version dataset,
 higher version tokenizer"
csarron,csarron/mobilebert-uncased-squad-v2,csarron/mobilebert-uncased-squad-v1,Different,Different,"successor higher-version-dataset,
successor high-performance"," higher version dataset,
 high performance"
csarron,csarron/mobilebert-uncased-squad-v2,csarron/mobilebert-uncased-squad-v1,Different,Different,no traces of changes,no traces of changes
cuadron11,cuadron11/suicide-distilbert-original-8-5-v2,cuadron11/suicide-distilbert-original-8-5,Different,Different,successor high-performance, high performance
damerajee,damerajee/tinyllama-sft-small-v2,damerajee/Tinyllama-sft-small,Different,Different,no traces of changes,no traces of changes
decapoda-research,decapoda-research/Antares-11b-v2,decapoda-research/Antares-11b-v1,Different,Different,predecessor deprecated,predecessor deprecated
evenicole,evenicole/google-play-sentiment-analysis_v2,evenicole/google-play-sentiment-analysis,Different,Different,successor high-performance, high performance
Fizzarolli,Fizzarolli/sappha-2b-v1,Fizzarolli/sappha-2b-v3,Different,Different,successor dataset-changed, dataset changed
