Owner,main_model_name,to_compare,configfile
Ahmed007,Ahmed007/Copilot_for_poors_v2,Ahmed007/Copilot_for_poors,modelpath
albert,albert/albert-xlarge-v1,albert/albert-xlarge-v2,"attention-probs-dropout-prob, hidden-act, hidden-dropout-prob"
alpcansoydas,alpcansoydas/bert-base-arabic-emotion-analysis-v2,alpcansoydas/bert-base-arabic-emotion-analysis,transformers-version
AmelieSchreiber,AmelieSchreiber/esm2_t6_8M_general_binding_sites_v2,AmelieSchreiber/esm2_t6_8M_general_binding_sites,no-changes
ankhamun,ankhamun/x_x-v0,ankhamun/xxxI0v_v0Ixxx,"modelpath, sliding-window, transformers-version, use-cache"
arjan-hada,arjan-hada/esm2_t12_35M_UR50D-finetuned-rep7868aav2-v0,arjan-hada/esm2_t12_35M_UR50D-finetuned-rep7868aav2-v1,no-changes
athirdpath,athirdpath/Iambe-20b-DARE-v2,athirdpath/Iambe-20b-DARE,"modelpath, use-cache"
austinpatrickm,austinpatrickm/finetuned_bge_embeddings_v2,austinpatrickm/finetuned-bge-embeddings,transformers-version
bedust,bedust/tinyllama-colorist-v2,bedust/tinyllama-colorist-lora,no-information
Biomimicry-AI,Biomimicry-AI/ANIMA-Nectar-v2,Biomimicry-AI/ANIMA-Nectar-v3-GGUF,no-information
chathuranga-jayanath,chathuranga-jayanath/codet5-base-v1,chathuranga-jayanath/codet5-base-v2,no-changes
chensyii,chensyii/my_bert_model_v2,chensyii/my_bert_model,transformers-version
ClaudiaRichard,ClaudiaRichard/mbti-bert-nli-finetuned_v2,ClaudiaRichard/mbti-bert-nli-finetuned,no-changes
Conrad747,Conrad747/luganda-ner-v6,Conrad747/luganda-ner-v5,"modelpath, hidden-size, intermediate-size, num-attention-heads, num-hidden-layers, transformers-version, adapters, gradient-checkpointing"
csarron,csarron/mobilebert-uncased-squad-v2,csarron/mobilebert-uncased-squad-v1,no-changes
cuadron11,cuadron11/suicide-distilbert-original-8-5-v2,cuadron11/suicide-distilbert-original-8-5,no-changes
damerajee,damerajee/tinyllama-sft-small-v2,damerajee/Tinyllama-sft-small,no-information
decapoda-research,decapoda-research/Antares-11b-v2,decapoda-research/Antares-11b-v1,"modelpath, transformers-version"
evenicole,evenicole/google-play-sentiment-analysis_v2,evenicole/google-play-sentiment-analysis,no-changes
Fizzarolli,Fizzarolli/sappha-2b-v1,Fizzarolli/sappha-2b-v3,"modelpath, torch-dtype, transformers-version, unsloth-version, hidden-activation"
Frrrrrrrrank,Frrrrrrrrank/Llama-2-7b-chat-hf-process_engineering_one_firsttwokap_v3,Frrrrrrrrank/Llama-2-7b-chat-hf-process_engineering_one_firsttwokap_v2,no-information
gangyeolkim,gangyeolkim/kobart-korean-summarizer-v2,gangyeolkim/open-llama-2-ko-7b-summarization,"modelpath, activation-dropout, activation-function, add-bias-logits, add-final-layer-norm, architectures, author, classif-dropout, classifier-dropout, d-model, decoder-attention-heads, decoder-ffn-dim, decoder-layerdrop, decoder-layers, decoder-start-token-id, do-blenderbot-90-layernorm, dropout, early-stopping, encoder-attention-heads, encoder-ffn-dim, encoder-layerdrop, encoder-layers, eos-token-id, extra-pos-embeddings, force-bos-token-to-be-generated, forced-eos-token-id, gradient-checkpointing, id2label, init-std, is-encoder-decoder, kobart-version, label2id, length-penalty, max-length, max-position-embeddings, min-length, model-type, normalize-before, normalize-embedding, num-hidden-layers, pad-token-id, scale-embedding, static-position-embeddings, tokenizer-class, transformers-version, vocab-size, attention-bias, hidden-act, hidden-size, initializer-range, intermediate-size, num-attention-heads, num-key-value-heads, pretraining-tp, rms-norm-eps, rope-scaling, rope-theta, tie-word-embeddings"
genify-official,genify-official/genify-llama-2-7B-32K-Instruct-Q4-v2,genify-official/genify-llama-2-7B-32K-Instruct-Q4,"attention-bias, attention-dropout, rope-theta, transformers-version"
Gnartiel,Gnartiel/multi-sbert-v2,Gnartiel/multi-sbert,transformers-version
GRPUI,GRPUI/sgugit-model-v3,GRPUI/sgugit-model,no-information
Guilherme34,Guilherme34/SamanthaCode-v1,Guilherme34/SamanthaCode,no-information
Hejjee,Hejjee/iDonna_depression_v2,Hejjee/iDonna_depression_v1,no-information
hoanghoavienvo,hoanghoavienvo/roberta-base-detect-cheapfake-co1-co2-v2,hoanghoavienvo/roberta-base-detect-cheapfake-co1-co2,no-changes
