Owner,main_model_name,to_compare,modelcard_abstract
Ahmed007,Ahmed007/Copilot_for_poors_v2,Ahmed007/Copilot_for_poors,"training parameters increase,
 performance improvement"
albert,albert/albert-xlarge-v1,albert/albert-xlarge-v2, performance improvement
alpcansoydas,alpcansoydas/bert-base-arabic-emotion-analysis-v2,alpcansoydas/bert-base-arabic-emotion-analysis," performance improvement,
 dataset version increase,
 transformer version increase,
 tokenizer version increase,"
AmelieSchreiber,AmelieSchreiber/esm2_t6_8M_general_binding_sites_v2,AmelieSchreiber/esm2_t6_8M_general_binding_sites,"performance improvement,
 hyperperameter release"
ankhamun,ankhamun/x_x-v0,ankhamun/xxxI0v_v0Ixxx, no modelcard
arjan-hada,arjan-hada/esm2_t12_35M_UR50D-finetuned-rep7868aav2-v0,arjan-hada/esm2_t12_35M_UR50D-finetuned-rep7868aav2-v1," training batchsize increase,
 evaluation batchsize increase,
 training result improvement,
 dataset version increase,
 tokenizer version increase"
athirdpath,athirdpath/Iambe-20b-DARE-v2,athirdpath/Iambe-20b-DARE, different merged base model
austinpatrickm,austinpatrickm/finetuned_bge_embeddings_v2,austinpatrickm/finetuned-bge-embeddings, normalized layer addition
bedust,bedust/tinyllama-colorist-v2,bedust/tinyllama-colorist-lora, no modelcard
Biomimicry-AI,Biomimicry-AI/ANIMA-Nectar-v2,Biomimicry-AI/ANIMA-Nectar-v3-GGUF," file format change,
 license inclusion"
chathuranga-jayanath,chathuranga-jayanath/codet5-base-v1,chathuranga-jayanath/codet5-base-v2,"performance improvement,
 train batch size decrease,
 evaluation batch size decrease"
chensyii,chensyii/my_bert_model_v2,chensyii/my_bert_model, modelcard addition
ClaudiaRichard,ClaudiaRichard/mbti-bert-nli-finetuned_v2,ClaudiaRichard/mbti-bert-nli-finetuned,no traces of change
Conrad747,Conrad747/luganda-ner-v6,Conrad747/luganda-ner-v5," different trained variant,
performance decrease,
 transformer version increase,
 dataset version increase,
 tokenizer version increase"
csarron,csarron/mobilebert-uncased-squad-v2,csarron/mobilebert-uncased-squad-v1,no traces of changes
cuadron11,cuadron11/suicide-distilbert-original-8-5-v2,cuadron11/suicide-distilbert-original-8-5,performance improvement
damerajee,damerajee/tinyllama-sft-small-v2,damerajee/Tinyllama-sft-small,no traces of changes
decapoda-research,decapoda-research/Antares-11b-v2,decapoda-research/Antares-11b-v1, version deprecated
evenicole,evenicole/google-play-sentiment-analysis_v2,evenicole/google-play-sentiment-analysis, performance improvement
Fizzarolli,Fizzarolli/sappha-2b-v1,Fizzarolli/sappha-2b-v3,dataset change
Frrrrrrrrank,Frrrrrrrrank/Llama-2-7b-chat-hf-process_engineering_one_firsttwokap_v3,Frrrrrrrrank/Llama-2-7b-chat-hf-process_engineering_one_firsttwokap_v2, no modelcard
gangyeolkim,gangyeolkim/kobart-korean-summarizer-v2,gangyeolkim/open-llama-2-ko-7b-summarization, basemodel change
genify-official,genify-official/genify-llama-2-7B-32K-Instruct-Q4-v2,genify-official/genify-llama-2-7B-32K-Instruct-Q4, modelcard addition
Gnartiel,Gnartiel/multi-sbert-v2,Gnartiel/multi-sbert,no traces of changes
GRPUI,GRPUI/sgugit-model-v3,GRPUI/sgugit-model,"CO2 emission decreased,
 validation metrics increase"
Guilherme34,Guilherme34/SamanthaCode-v1,Guilherme34/SamanthaCode, no modelcard
Hejjee,Hejjee/iDonna_depression_v2,Hejjee/iDonna_depression_v1, modelcard addition
hoanghoavienvo,hoanghoavienvo/roberta-base-detect-cheapfake-co1-co2-v2,hoanghoavienvo/roberta-base-detect-cheapfake-co1-co2, performance deteriorate
iagoalves,iagoalves/sentiment-model-v2,iagoalves/sentiment-model-v3,no traces of changes
IkariDev,IkariDev/Athena-v2,IkariDev/Athena-v1, multiple merge basemodel
intelliwork,intelliwork/Llama-2-7b-chat-hf-function-calling-v2,intelliwork/Llama-2-7b-chat-hf-function-calling-adapters-v2, modelcard addition
intfloat,intfloat/e5-base-v2,intfloat/e5-base,no traces of changes
Ja-ck,Ja-ck/Mistral-instruct-Y24-v5,Ja-ck/Mistral-instruct-Y24-v6, no modelcard
Jairnetojp,Jairnetojp/hate-classification-distilbert-base-multilingual-cased-sentiments-student-v2,Jairnetojp/hate-classification-distilbert-base-multilingual-cased-sentiments-student, modelcard addition
JoaoJunior,JoaoJunior/T5_APR_java_python_v4,JoaoJunior/T5_APR_java_python_v3, modelcard addition
