Owner,main_model_name,to_compare,largefile_changed,card_changed,modelcard,readme,configfile
922-CA,922-CA/LLilmonix3b-v0.3,922-CA/LLilmonix3b-v0.4a,1,1,successor hyperparameters-increased,no traces of change,_name_or_path
AdityaXPV,AdityaXPV/llama-2-7b-law-sage-v0.2,AdityaXPV/llama-2-7b-law-sage-v0.1,1,1,successor card-removed,successor readme-inclusion,"_name_or_path, attention_bias, attention_dropout, rope_theta, transformers_version, pad_token_id"
Ahmed107,Ahmed107/nllb200-ar-en_v11.1,Ahmed107/nllb200-ar-en_v11,1,1,successor card-removed,no traces of change,no-changes
alexredna,alexredna/Tukan-1.1B-Chat-v0.6,alexredna/Tukan-1.1B-Chat-v0.2,1,1,successor card-removed,successor basemodel-changed,_name_or_path
arentz,arentz/spambutcher_mistral_7b-v0.2,arentz/spambutcher_mistral_7b-v0.1,1,1,no traces of change,successor readme-removed,"_name_or_path, torch_dtype, quantization_config"
ayeshgk,ayeshgk/codet5-small-ft-v10.1,ayeshgk/codet5-small-ft-v10,1,1,"successor performance-improvement,
successor Gen-Length-increased,
successor epoch-increase",successor transformer-indication,_name_or_path
cookinai,cookinai/Blitz-v0.1,cookinai/Blitz-v0.2,1,1,successor epoch-increase,successor name-changes,no-changes
davzoku,davzoku/cria-llama2-7b-v1.3,davzoku/cria-llama2-7b-v1.2,1,1,successor card-inclusion,successor transformer-indication,"_name_or_path, rope_theta, sliding_window, torch_dtype, transformers_version, pad_token_id, unsloth_version"
Deepnoid,Deepnoid/deep-solar-v3.0,Deepnoid/deep-solar-Rev-v3.0.4,1,1,no traces of change,successor readme-inclusion,"_name_or_path, max_position_embeddings"
EDM25,EDM25/luau-assistant-v0.1,EDM25/luau-assistant-lora,1,1,successor card-removed,no traces of change,_name_or_path
eriksu,eriksu/heiko-7b-v0.1,eriksu/heiko-7b-v0.2.gguf,1,1,successor card-removed,successor no-readme,no-information
GodsonNtungi,GodsonNtungi/SwahiliInstruct-v0.2,GodsonNtungi/Swahili-Instruct-V2-3,1,1,"successor finetuned-variant-inclusion,
successor lincense-inclusion",successor readme-removed,no-information
Hvsq,Hvsq/Babylona_v0.1,Hvsq/Babylona_v0.1b,1,1,no traces of change,"successor license-inclusion,
successor basemodel-inclusion","_name_or_path, quantization_config, transformers_version, pad_token_id, unsloth_version"
jondurbin,jondurbin/bagel-dpo-7b-v0.4,jondurbin/bagel-dpo-7b-v0.5,1,1,successor finetuned-variant-changed,no traces of change,"_name_or_path, rope_theta, torch_dtype, transformers_version"
Josephgflowers,Josephgflowers/TinyLlama-3T-Cinder-v1.3,Josephgflowers/TinyLlama-3T-Cinder-v1.2,1,1,no adequate information,no traces of change,"_name_or_path, transformers_version, vocab_size"
kim-sha,kim-sha/sql-sodabot-v1.0,kim-sha/sql-sodabot-v1.1,1,1,successor card-removed,no traces of change,"_name_or_path, torch_dtype, transformers_version, unsloth_version"
