Owner,main_model_name,to_compare,largefile_changed,readme_changed
922-CA,922-CA/LLilmonix3b-v0.3,922-CA/LLilmonix3b-v0.4a,1,1
AdityaXPV,AdityaXPV/llama-2-7b-law-sage-v0.2,AdityaXPV/llama-2-7b-law-sage-v0.1,1,1
adonlee,adonlee/LLaMA_2_13B_SFT_v1.5,adonlee/LLaMA_2_13B_SFT_v1,1,1
Ahmed107,Ahmed107/nllb200-ar-en_v11.1,Ahmed107/nllb200-ar-en_v11,1,1
alexredna,alexredna/Tukan-1.1B-Chat-v0.6,alexredna/Tukan-1.1B-Chat-v0.2,1,1
arentz,arentz/spambutcher_mistral_7b-v0.2,arentz/spambutcher_mistral_7b-v0.1,1,1
ayeshgk,ayeshgk/codet5-small-ft-v10.1,ayeshgk/codet5-small-ft-v10,1,1
cookinai,cookinai/Blitz-v0.1,cookinai/Blitz-v0.2,1,1
davzoku,davzoku/cria-llama2-7b-v1.3,davzoku/cria-llama2-7b-v1.2,1,1
Deepnoid,Deepnoid/deep-solar-v3.0,Deepnoid/deep-solar-Rev-v3.0.4,1,1
EDM25,EDM25/luau-assistant-v0.1,EDM25/luau-assistant-lora,1,1
eriksu,eriksu/heiko-7b-v0.1,eriksu/heiko-7b-v0.2.gguf,1,1
GodsonNtungi,GodsonNtungi/SwahiliInstruct-v0.2,GodsonNtungi/Swahili-Instruct-V2-3,1,1
Hvsq,Hvsq/Babylona_v0.1,Hvsq/Babylona_v0.1b,1,1
jondurbin,jondurbin/bagel-dpo-7b-v0.4,jondurbin/bagel-dpo-7b-v0.5,1,1
Josephgflowers,Josephgflowers/TinyLlama-3T-Cinder-v1.3,Josephgflowers/TinyLlama-3T-Cinder-v1.2,1,1
kim-sha,kim-sha/sql-sodabot-v1.0,kim-sha/sql-sodabot-v1.1,1,1
kmok1,kmok1/cs_m2m_0.01_50_v0.2,kmok1/cs_m2m_0.01_50_v0.1,1,1
LDCC,LDCC/LDCC-Instruct-Llama-2-ko-13B-v1.5,LDCC/LDCC-Instruct-Llama-2-ko-13B-v1.4,1,1
Locutusque,Locutusque/TinyMistral-248M-v2.5,Locutusque/TinyMistral-248M-v2,1,1
meetkai,meetkai/functionary-7b-v2.1,meetkai/functionary-7b-v2,1,1
migtissera,migtissera/Tess-34B-v1.4,migtissera/Tess-34B-v1.5b,1,1
mncai,mncai/agiin-11.1B-v0.1,mncai/agiin-11.1B-v0.0,1,1
mogaio,mogaio/TinyLlama-con-v0.2,mogaio/TinyLlama-con-v0.1,1,1
muzammil-eds,muzammil-eds/tinyllama-3T-128k-JsonExtract-v1.0,muzammil-eds/tinyllama-3T-128k-JsonExtract-v0.6,1,1
mzbac,mzbac/llama2-13b-grammar-corrector-v1.1,mzbac/llama2-13b-grammar-corrector-v1.2,1,1
nitky,nitky/Superswallow-70b-v0.3,nitky/Superswallow-70b-v0.2,1,1
nomic-ai,nomic-ai/nomic-embed-text-v1.5,nomic-ai/nomic-embed-text-v1,1,1
Obrolin,Obrolin/Kesehatan-7B-v0.1,s3nh/Obrolin-Kesehatan-7B-GGUF,1,1
phanerozoic,phanerozoic/Mistral-Pirate-7b-v0.3,phanerozoic/MistralPirate-7b-v1,1,1
RJuro,RJuro/kanelsnegl-v0.1,RJuro/kanelsnegl-v0.2,1,1
rwitz2,rwitz2/go-bruins-v2.1,rwitz2/go-bruins-v2.1.1,1,1
saltlux,saltlux/luxia-21.4b-alignment-v1.0,saltlux/luxia-21.4b-alignment-v1.1,1,1
Sam2x,Sam2x/Mistral_OpenArabic_v0.2,Sam2x/OpenArabic_v0.3,1,1
Tamnemtf,Tamnemtf/Ae-calem-mistral-7b-v0.1,Tamnemtf/Ae-calem-mistral-7b-v0.2,1,1
TinyLlama,TinyLlama/TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v0.6,1,1
unaidedelf87777,unaidedelf87777/wizard-mistral-v0.1,unaidedelf87777/wizard-mistral-v1-ep2,1,1
Undi95,Undi95/Mistral-11B-Airoboros-v0.1,Undi95/Mistral-11B-Airoboros-RP-v1,1,1
vaicai,vaicai/kaifa-support-chat-v7.3,vaicai/kaifa-support-chat-v7.2,1,1
wolfram,wolfram/miquliz-120b-v2.0,wolfram/miquliz-120b-v2.0-2.4bpw-h6-exl2,1,1
yanolja,yanolja/KoSOLAR-10.7B-v0.2,yanolja/KoSOLAR-10.7B-v0.1-deprecated,1,1
