Owner,main_model_name,to_compare,largefile,card,key,main_value,compared_value
922-CA,922-CA/LLilmonix3b-v0.3,922-CA/LLilmonix3b-v0.4a,1,1,_name_or_path,psmathur/orca_mini_3b,acrastt/Marx-3B-V2
AdityaXPV,AdityaXPV/llama-2-7b-law-sage-v0.2,AdityaXPV/llama-2-7b-law-sage-v0.1,1,1,"_name_or_path, attention_bias, attention_dropout, rope_theta, transformers_version, pad_token_id","meta-llama/Llama-2-7b-chat-hf, False, 0.0, 10000.0, 4.37.2, None","NousResearch/Llama-2-7b-chat-hf, None, None, None, 4.31.0, 0"
adonlee,adonlee/LLaMA_2_13B_SFT_v1.5,adonlee/LLaMA_2_13B_SFT_v1,1,1,no-changes,no-changes,no-changes
Ahmed107,Ahmed107/nllb200-ar-en_v11.1,Ahmed107/nllb200-ar-en_v11,1,1,_name_or_path,Ahmed107/nllb200-ar-en_v8,facebook/nllb-200-distilled-600M
alexredna,alexredna/Tukan-1.1B-Chat-v0.6,alexredna/Tukan-1.1B-Chat-v0.2,1,1,"_name_or_path, torch_dtype, quantization_config","./alignment-handbook/data/Tukan-1.1B-Chat_merged, bfloat16, None","TinyLlama/TinyLlama-1.1B-Chat-v1.0, None, {'bnb_4bit_compute_dtype': 'float16', 'bnb_4bit_quant_type': 'nf4', 'bnb_4bit_use_double_quant': False, 'llm_int8_enable_fp32_cpu_offload': False, 'llm_int8_has_fp16_weight': False, 'llm_int8_skip_modules': None, 'llm_int8_threshold': 6.0, 'load_in_4bit': True, 'load_in_8bit': False, 'quant_method': 'bitsandbytes'}"
arentz,arentz/spambutcher_mistral_7b-v0.2,arentz/spambutcher_mistral_7b-v0.1,1,1,_name_or_path,arentz/spambutcher_v.0.2_mistral_7b,arentz/spambutcher_v.0.1_mistral_7b
ayeshgk,ayeshgk/codet5-small-ft-v10.1,ayeshgk/codet5-small-ft-v10,1,1,no-changes,no-changes,no-changes
cookinai,cookinai/Blitz-v0.1,cookinai/Blitz-v0.2,1,1,"_name_or_path, rope_theta, sliding_window, torch_dtype, transformers_version, pad_token_id, unsloth_version","D:\ai\merges\transformers\models\mistral-instruct-0.2\Mistral-7B-Instruct-v0.2, 1000000.0, None, bfloat16, 4.37.2, None, None","unsloth/mistral-7b-bnb-4bit, 10000.0, 4096, float16, 4.38.2, 2, 2024.3"
davzoku,davzoku/cria-llama2-7b-v1.3,davzoku/cria-llama2-7b-v1.2,1,1,"_name_or_path, max_position_embeddings","NousResearch/Llama-2-7b-chat-hf, 4096","TinyPixel/Llama-2-7B-bf16-sharded, 2048"
Deepnoid,Deepnoid/deep-solar-v3.0,Deepnoid/deep-solar-Rev-v3.0.4,1,1,_name_or_path,heavytail/kullm-solar-S,Deepnoid/deep-solar-v3.0
EDM25,EDM25/luau-assistant-v0.1,EDM25/luau-assistant-lora,1,1,no-information,no-information,no-information
eriksu,eriksu/heiko-7b-v0.1,eriksu/heiko-7b-v0.2.gguf,1,1,no-information,no-information,no-information
GodsonNtungi,GodsonNtungi/SwahiliInstruct-v0.2,GodsonNtungi/Swahili-Instruct-V2-3,1,1,"_name_or_path, quantization_config, transformers_version, pad_token_id, unsloth_version","mwitiderrick/SwahiliInstruct-v0.2, {'_load_in_4bit': True, '_load_in_8bit': False, 'bnb_4bit_compute_dtype': 'bfloat16', 'bnb_4bit_quant_type': 'nf4', 'bnb_4bit_use_double_quant': True, 'llm_int8_enable_fp32_cpu_offload': False, 'llm_int8_has_fp16_weight': False, 'llm_int8_skip_modules': None, 'llm_int8_threshold': 6.0, 'load_in_4bit': True, 'load_in_8bit': False, 'quant_method': 'bitsandbytes'}, 4.39.0.dev0, None, None","GodsonNtungi/Swahili-Mistral-v2-4b4-bit, None, 4.38.2, 0, 2024.3"
Hvsq,Hvsq/Babylona_v0.1,Hvsq/Babylona_v0.1b,1,1,"_name_or_path, rope_theta, torch_dtype, transformers_version","NeuralNovel/Mistral-7B-Instruct-v0.2-Neural-Story, 1000000.0, float16, 4.36.2","OpenPipe/mistral-ft-optimized-1218, 10000.0, bfloat16, 4.35.2"
jondurbin,jondurbin/bagel-dpo-7b-v0.4,jondurbin/bagel-dpo-7b-v0.5,1,1,"_name_or_path, transformers_version, vocab_size","bagel-dpo-7b-v0.4, 4.37.1, 32064","bagel-dpo-7b-v0.5, 4.39.3, 32000"
Josephgflowers,Josephgflowers/TinyLlama-3T-Cinder-v1.3,Josephgflowers/TinyLlama-3T-Cinder-v1.2,1,1,"_name_or_path, torch_dtype, transformers_version, unsloth_version","/content/newcinder, float16, 4.38.0.dev0, 2024.1","TinyLlama/TinyLlama-1.1B-Chat-v0.6, float32, 4.36.0.dev0, None"
kim-sha,kim-sha/sql-sodabot-v1.0,kim-sha/sql-sodabot-v1.1,1,1,"_name_or_path, d_ff, d_model, gradient_checkpointing, id2label, label2id, num_decoder_layers, num_heads, num_layers, task_specific_params","Salesforce/codet5-small, 2048, 512, False, {'0': 'LABEL_0'}, {'LABEL_0': 0}, 6, 8, 6, {'summarization': {'early_stopping': True, 'length_penalty': 2.0, 'max_length': 200, 'min_length': 30, 'no_repeat_ngram_size': 3, 'num_beams': 4, 'prefix': 'summarize: '}, 'translation_en_to_de': {'early_stopping': True, 'max_length': 300, 'num_beams': 4, 'prefix': 'translate English to German: '}, 'translation_en_to_fr': {'early_stopping': True, 'max_length': 300, 'num_beams': 4, 'prefix': 'translate English to French: '}, 'translation_en_to_ro': {'early_stopping': True, 'max_length': 300, 'num_beams': 4, 'prefix': 'translate English to Romanian: '}}","Salesforce/codet5p-220m, 3072, 768, None, None, None, 12, 12, 12, None"
kmok1,kmok1/cs_m2m_0.01_50_v0.2,kmok1/cs_m2m_0.01_50_v0.1,1,1,no-information,no-information,no-information
LDCC,LDCC/LDCC-Instruct-Llama-2-ko-13B-v1.5,LDCC/LDCC-Instruct-Llama-2-ko-13B-v1.4,1,1,no-information,no-information,no-information
Locutusque,Locutusque/TinyMistral-248M-v2.5,Locutusque/TinyMistral-248M-v2,1,1,"_name_or_path, torch_dtype","Locutusque/TinyMistral-248M-v2.5, float16","Locutusque/TinyMistral-248M, float32"
meetkai,meetkai/functionary-7b-v2.1,meetkai/functionary-7b-v2,1,1,"_name_or_path, sliding_window, transformers_version","mistralai/Mistral-7B-v0.1, 8192, 4.35.2","Mistral-7B-v0.1, 4096, 4.35.0"
migtissera,migtissera/Tess-34B-v1.4,migtissera/Tess-34B-v1.5b,1,1,"_name_or_path, torch_dtype, transformers_version, attention_dropout","/home/migel/Tess-M-qlora-1-4/merged, float16, 4.35.1, None","/home/migel/Yi-34B-200K, bfloat16, 4.36.2, 0.0"
mncai,mncai/agiin-11.1B-v0.1,mncai/agiin-11.1B-v0.0,1,1,"architectures, sliding_window","['MistralForCausalLM'], 4096","['LlamaForCausalLM'], None"
mogaio,mogaio/TinyLlama-con-v0.2,mogaio/TinyLlama-con-v0.1,1,1,transformers_version,4.35.2,4.34.0
muzammil-eds,muzammil-eds/tinyllama-3T-128k-JsonExtract-v1.0,muzammil-eds/tinyllama-3T-128k-JsonExtract-v0.6,1,1,no-information,no-information,no-information
mzbac,mzbac/llama2-13b-grammar-corrector-v1.1,mzbac/llama2-13b-grammar-corrector-v1.2,1,1,"_name_or_path, torch_dtype","mzbac/llama2-13b-grammar-corrector-v1.1, bfloat16","mzbac/llama2-13b-grammar-corrector-v1.2, float16"
nitky,nitky/Superswallow-70b-v0.3,nitky/Superswallow-70b-v0.2,1,1,_name_or_path,nitky/Superswallow-70b-v0.3,nitky/Superswallow-70b-baseline
nomic-ai,nomic-ai/nomic-embed-text-v1.5,nomic-ai/nomic-embed-text-v1,1,1,"max_trained_positions, rotary_scaling_factor, summary_first_dropout, transformers_version","2048, None, 0.0, 4.37.2","None, 2, 0.1, 4.34.0"
